date,year,month,segment_label,passengers,commercial_units,direct_flights,destinations,passengers_yoy_pct,direct_flights_yoy_pct
2006-03-01,2006,3,International,6655641,8072043,85619,98,3.64,3.62
2006-03-01,2006,3,National,2315825,2566559,42018,2,1.81,3.93
2006-04-01,2006,4,International,7873498,9560114,89395,97,12.49,3.77
2006-04-01,2006,4,National,2391434,2631736,40293,2,2.23,-1.06
2006-05-01,2006,5,International,8071305,9959415,96424,98,6.57,4.72
2006-05-01,2006,5,National,2460155,2682503,42394,2,2.13,0.77
2006-06-01,2006,6,International,8204388,10114755,95432,101,7.25,5.01
2006-06-01,2006,6,National,2651199,2894733,43526,2,1.92,2.12
2006-07-01,2006,7,International,9198459,11070266,100290,102,5.56,4.51
2006-07-01,2006,7,National,2763300,2974787,45406,2,2.04,1.9
2006-08-01,2006,8,International,9008810,10796127,97673,104,4.7,3.59
2006-08-01,2006,8,National,2438446,2635538,41206,2,1.24,-0.59
2006-09-01,2006,9,International,8298793,10236580,94506,101,6.46,3.24
2006-09-01,2006,9,National,2441203,2673419,42411,2,2.25,-0.71
2006-10-01,2006,10,International,7644258,9651505,91285,99,6.86,4.33
2006-10-01,2006,10,National,2440130,2671994,41559,2,3.48,0.05
2006-11-01,2006,11,International,6262098,8342205,81871,98,8.2,5.02
2006-11-01,2006,11,National,2240016,2466655,39225,2,0.99,-0.47
2006-12-01,2006,12,International,6571601,8654839,82070,97,9.86,6.0
2006-12-01,2006,12,National,2369171,2626376,38839,2,0.18,-1.77
2007-01-01,2007,1,International,6495365,8268312,85037,99,7.39,4.37
2007-01-01,2007,1,National,2266649,2489458,39651,2,1.22,-1.52
2007-02-01,2007,2,International,6202854,8011086,79961,94,6.8,5.73
2007-02-01,2007,2,National,2092145,2296414,37276,2,3.85,1.91
2007-03-01,2007,3,International,7581774,9688344,92204,102,13.92,7.69
2007-03-01,2007,3,National,2468838,2729235,42314,2,6.61,0.7
2007-04-01,2007,4,International,8365072,10230132,93380,99,6.24,4.46
2007-04-01,2007,4,National,2428362,2651786,40572,2,1.54,0.69
2007-05-01,2007,5,International,8324061,10191389,99885,98,3.13,3.59
2007-05-01,2007,5,National,2425310,2624820,41709,2,-1.42,-1.62
2007-06-01,2007,6,International,8806221,10778957,99688,101,7.34,4.46
2007-06-01,2007,6,National,2658520,2885848,43135,2,0.28,-0.9
2007-07-01,2007,7,International,10049012,11943787,105413,100,9.25,5.11
2007-07-01,2007,7,National,2811461,3020010,46250,2,1.74,1.86
2007-08-01,2007,8,International,10044741,11764729,103343,105,11.5,5.81
2007-08-01,2007,8,National,2481179,2671381,40928,2,1.75,-0.67
2007-09-01,2007,9,International,9003072,10911664,98945,103,8.49,4.7
2007-09-01,2007,9,National,2435351,2648654,40453,2,-0.24,-4.62
2007-10-01,2007,10,International,8139307,10224569,94463,100,6.48,3.48
2007-10-01,2007,10,National,2284100,2499875,39781,2,-6.39,-4.28
2007-11-01,2007,11,International,6765004,8957539,85331,98,8.03,4.23
2007-11-01,2007,11,National,2255768,2464395,37271,2,0.7,-4.98
2007-12-01,2007,12,International,7024360,9120975,85151,97,6.89,3.75
2007-12-01,2007,12,National,2278118,2493793,36549,2,-3.84,-5.9
2008-01-01,2008,1,International,6752253,8696916,87278,96,3.95,2.64
2008-01-01,2008,1,National,2203536,2419724,38473,2,-2.78,-2.97
2008-02-01,2008,2,International,6677199,8684415,83900,97,7.65,4.93
2008-02-01,2008,2,National,2037322,2256397,36392,2,-2.62,-2.37
2008-03-01,2008,3,International,8022701,10143455,92824,100,5.82,0.67
2008-03-01,2008,3,National,2346328,2572099,39722,2,-4.96,-6.13
2008-04-01,2008,4,International,8519365,10671890,95946,100,1.84,2.75
2008-04-01,2008,4,National,2396556,2629757,39932,2,-1.31,-1.58
2008-05-01,2008,5,International,9155008,11135132,103458,101,9.98,3.58
2008-05-01,2008,5,National,2460134,2662561,40357,2,1.44,-3.24
2008-06-01,2008,6,International,9256515,11279650,102562,102,5.11,2.88
2008-06-01,2008,6,National,2606410,2826112,42495,2,-1.96,-1.48
2008-07-01,2008,7,International,10276947,12032545,106498,106,2.27,1.03
2008-07-01,2008,7,National,2734698,2948729,44827,2,-2.73,-3.08
2008-08-01,2008,8,International,10525309,12178060,105387,106,4.78,1.98
2008-08-01,2008,8,National,2506686,2676687,39633,2,1.03,-3.16
2008-09-01,2008,9,International,8882798,10852669,98349,103,-1.34,-0.6
2008-09-01,2008,9,National,2341008,2552605,40292,2,-3.87,-0.4
2008-10-01,2008,10,International,8382035,10538301,93994,100,2.98,-0.5
2008-10-01,2008,10,National,2373748,2518324,39836,2,3.92,0.14
2008-11-01,2008,11,International,6611038,8522487,78430,96,-2.28,-8.09
2008-11-01,2008,11,National,2074219,2194475,34713,2,-8.05,-6.86
2008-12-01,2008,12,International,6851308,8733277,78788,99,-2.46,-7.47
2008-12-01,2008,12,National,2250492,2395363,36263,2,-1.21,-0.78
2009-01-01,2009,1,International,6368785,8138206,77888,95,-5.68,-10.76
2009-01-01,2009,1,National,2015397,2188806,35425,2,-8.54,-7.92
2009-02-01,2009,2,International,6095303,7651131,73826,96,-8.71,-12.01
2009-02-01,2009,2,National,1895067,2070113,33353,2,-6.98,-8.35
2009-03-01,2009,3,International,7184883,8772937,85522,100,-10.44,-7.87
2009-03-01,2009,3,National,2155770,2358284,37629,2,-8.12,-5.27
2009-04-01,2009,4,International,8400315,9957979,88465,97,-1.4,-7.8
2009-04-01,2009,4,National,2372316,2578211,37963,2,-1.01,-4.93
2009-05-01,2009,5,International,8602822,10152950,94044,99,-6.03,-9.1
2009-05-01,2009,5,National,2372703,2539875,38013,2,-3.55,-5.81
2009-06-01,2009,6,International,8599852,10412297,91722,98,-7.09,-10.57
2009-06-01,2009,6,National,2532306,2741838,39923,2,-2.84,-6.05
2009-07-01,2009,7,International,9962204,11834967,99220,102,-3.06,-6.83
2009-07-01,2009,7,National,2682114,2888218,41609,2,-1.92,-7.18
2009-08-01,2009,8,International,10115221,11841156,96242,103,-3.9,-8.68
2009-08-01,2009,8,National,2481426,2668667,37351,2,-1.01,-5.76
2009-09-01,2009,9,International,8495906,10197106,89879,98,-4.36,-8.61
2009-09-01,2009,9,National,2307628,2524295,38836,2,-1.43,-3.61
2009-10-01,2009,10,International,8171367,10154880,86565,95,-2.51,-7.9
2009-10-01,2009,10,National,2334053,2561780,37590,2,-1.67,-5.64
2009-11-01,2009,11,International,6498044,8546226,75024,95,-1.71,-4.34
2009-11-01,2009,11,National,2147350,2350778,35149,2,3.53,1.26
2009-12-01,2009,12,International,6741811,8510480,74074,98,-1.6,-5.98
2009-12-01,2009,12,National,2215597,2446409,34737,2,-1.55,-4.21
2010-01-01,2010,1,International,6434402,7979271,75943,96,1.03,-2.5
2010-01-01,2010,1,National,1973448,2168635,33130,2,-2.08,-6.48
2010-02-01,2010,2,International,6127438,7745315,71783,96,0.53,-2.77
2010-02-01,2010,2,National,1862850,2053459,31096,2,-1.7,-6.77
2010-03-01,2010,3,International,7414281,9408782,84827,101,3.19,-0.81
2010-03-01,2010,3,National,2259701,2487220,37677,2,4.82,0.13
2010-04-01,2010,4,International,7083763,8665895,77229,93,-15.67,-12.7
2010-04-01,2010,4,National,1997624,2183742,33292,2,-15.79,-12.3
2010-05-01,2010,5,International,8948691,11026843,95683,100,4.02,1.74
2010-05-01,2010,5,National,2416815,2567986,38279,2,1.86,0.7
2010-06-01,2010,6,International,8972118,10913721,95287,102,4.33,3.89
2010-06-01,2010,6,National,2527615,2660355,39553,2,-0.19,-0.93
2010-07-01,2010,7,International,10499224,12545308,103142,107,5.39,3.95
2010-07-01,2010,7,National,2723460,2851720,40577,2,1.54,-2.48
2010-08-01,2010,8,International,10418357,12243981,100293,107,3.0,4.21
2010-08-01,2010,8,National,2533267,2691008,37300,2,2.09,-0.14
2010-09-01,2010,9,International,9022059,10807498,93732,102,6.19,4.29
2010-09-01,2010,9,National,2357014,2570610,37469,2,2.14,-3.52
2010-10-01,2010,10,International,8768443,10818167,90871,102,7.31,4.97
2010-10-01,2010,10,National,2353991,2516017,35984,2,0.85,-4.27
2010-11-01,2010,11,International,6895377,9012726,79571,97,6.11,6.06
2010-11-01,2010,11,National,2218401,2407012,34306,2,3.31,-2.4
2010-12-01,2010,12,International,6854745,9072055,75370,100,1.68,1.75
2010-12-01,2010,12,National,2208184,2436872,33396,2,-0.33,-3.86
2011-01-01,2011,1,International,6874319,8671992,82112,100,6.84,8.12
2011-01-01,2011,1,National,2152379,2337205,35703,2,9.07,7.77
2011-02-01,2011,2,International,6456110,8251330,76822,95,5.36,7.02
2011-02-01,2011,2,National,2015649,2198241,33419,2,8.2,7.47
2011-03-01,2011,3,International,7696862,9831674,89816,101,3.81,5.88
2011-03-01,2011,3,National,2303216,2509360,38434,2,1.93,2.01
2011-04-01,2011,4,International,9007961,10889947,92933,98,27.16,20.33
2011-04-01,2011,4,National,2437102,2642965,38222,2,22.0,14.81
2011-05-01,2011,5,International,9363458,11124899,100957,100,4.63,5.51
2011-05-01,2011,5,National,2523388,2728956,40562,2,4.41,5.96
2011-06-01,2011,6,International,9535133,11386114,99201,99,6.28,4.11
2011-06-01,2011,6,National,2660612,2856567,39605,2,5.26,0.13
2011-07-01,2011,7,International,11154767,13124982,107224,105,6.24,3.96
2011-07-01,2011,7,National,2803915,2999157,41649,2,2.95,2.64
2011-08-01,2011,8,International,10682910,12533771,102439,102,2.54,2.14
2011-08-01,2011,8,National,2523137,2714220,37948,2,-0.4,1.74
2011-09-01,2011,9,International,9717044,11633117,99090,101,7.7,5.72
2011-09-01,2011,9,National,2508869,2715772,39404,2,6.44,5.16
2011-10-01,2011,10,International,9116129,11132352,94437,102,3.97,3.92
2011-10-01,2011,10,National,2457116,2659860,37831,2,4.38,5.13
2011-11-01,2011,11,International,7100313,9054202,80090,99,2.97,0.65
2011-11-01,2011,11,National,2256962,2455772,35680,2,1.74,4.01
2011-12-01,2011,12,International,7472984,9542780,80822,98,9.02,7.23
2011-12-01,2011,12,National,2418682,2646356,35336,2,9.53,5.81
2012-01-01,2012,1,International,7055375,8683911,80878,96,2.63,-1.5
2012-01-01,2012,1,National,2211507,2404413,34648,2,2.75,-2.95
2012-02-01,2012,2,International,6764539,8422234,77445,96,4.78,0.81
2012-02-01,2012,2,National,2056908,2259737,33084,2,2.05,-1.0
2012-03-01,2012,3,International,8120954,10087288,89368,96,5.51,-0.5
2012-03-01,2012,3,National,2388127,2614710,37515,2,3.69,-2.39
2012-04-01,2012,4,International,9430646,11217329,91833,99,4.69,-1.18
2012-04-01,2012,4,National,2474166,2686632,36153,2,1.52,-5.41
2012-05-01,2012,5,International,9596100,11397642,99261,101,2.48,-1.68
2012-05-01,2012,5,National,2501611,2686157,37851,2,-0.86,-6.68
2012-06-01,2012,6,International,9899290,11709974,99694,103,3.82,0.5
2012-06-01,2012,6,National,2694611,2898687,40269,2,1.28,1.68
2012-07-01,2012,7,International,11375370,13263614,106384,105,1.98,-0.78
2012-07-01,2012,7,National,2924732,3116115,42103,2,4.31,1.09
2012-08-01,2012,8,International,11284782,12982882,103228,103,5.63,0.77
2012-08-01,2012,8,National,2654353,2835102,37669,2,5.2,-0.74
2012-09-01,2012,9,International,10091637,11877288,97875,103,3.86,-1.23
2012-09-01,2012,9,National,2537660,2736338,38469,2,1.15,-2.37
2012-10-01,2012,10,International,9129754,11018973,92717,100,0.15,-1.82
2012-10-01,2012,10,National,2459514,2674041,38225,2,0.1,1.04
2012-11-01,2012,11,International,7395306,9273572,78657,93,4.15,-1.79
2012-11-01,2012,11,National,2338159,2545806,34915,2,3.6,-2.14
2012-12-01,2012,12,International,7488679,9337707,78627,95,0.21,-2.72
2012-12-01,2012,12,National,2387246,2595864,35105,2,-1.3,-0.65
2013-01-01,2013,1,International,7019977,8672791,77458,93,-0.5,-4.23
2013-01-01,2013,1,National,2147144,2340360,33849,2,-2.91,-2.31
2013-02-01,2013,2,International,6667753,8271913,72744,93,-1.43,-6.07
2013-02-01,2013,2,National,2104988,2289608,32804,2,2.34,-0.85
2013-03-01,2013,3,International,8462387,10312256,85020,96,4.2,-4.87
2013-03-01,2013,3,National,2432412,2638273,36072,2,1.85,-3.85
2013-04-01,2013,4,International,9300499,11073158,89338,98,-1.38,-2.72
2013-04-01,2013,4,National,2560779,2758261,37215,2,3.5,2.94
2013-05-01,2013,5,International,10186106,11934244,98538,99,6.15,-0.73
2013-05-01,2013,5,National,2627318,2802420,37611,2,5.03,-0.63
2013-06-01,2013,6,International,10217045,12000408,96296,97,3.21,-3.41
2013-06-01,2013,6,National,2722496,2902066,38579,2,1.03,-4.2
2013-07-01,2013,7,International,11356956,13201996,105559,101,-0.16,-0.78
2013-07-01,2013,7,National,2973184,3162307,42171,2,1.66,0.16
2013-08-01,2013,8,International,11889400,13550051,103379,99,5.36,0.15
2013-08-01,2013,8,National,2757385,2922006,37426,2,3.88,-0.65
2013-09-01,2013,9,International,10348715,12097789,96831,98,2.55,-1.07
2013-09-01,2013,9,National,2595711,2769786,38272,2,2.29,-0.51
2013-10-01,2013,10,International,9625148,11530960,91039,99,5.43,-1.81
2013-10-01,2013,10,National,2603671,2800792,37383,2,5.86,-2.2
2013-11-01,2013,11,International,7452465,9367356,76197,96,0.77,-3.13
2013-11-01,2013,11,National,2313999,2498428,33579,2,-1.03,-3.83
2013-12-01,2013,12,International,7841412,9719444,77053,98,4.71,-2.0
2013-12-01,2013,12,National,2458285,2661814,34149,2,2.98,-2.72
2014-01-01,2014,1,International,7417777,9081194,77224,94,5.67,-0.3
2014-01-01,2014,1,National,2181207,2364386,32374,2,1.59,-4.36
2014-02-01,2014,2,International,7031752,8678873,72120,96,5.46,-0.86
2014-02-01,2014,2,National,2097770,2280564,30958,2,-0.34,-5.63
2014-03-01,2014,3,International,8557104,10523238,83879,101,1.12,-1.34
2014-03-01,2014,3,National,2413576,2609123,34878,2,-0.77,-3.31
2014-04-01,2014,4,International,9916606,11717554,91207,101,6.62,2.09
2014-04-01,2014,4,National,2559760,2765763,35801,2,-0.04,-3.8
2014-05-01,2014,5,International,10600502,12443477,100477,103,4.07,1.97
2014-05-01,2014,5,National,2535079,2710555,35675,2,-3.51,-5.15
2014-06-01,2014,6,International,10807869,12597600,99220,105,5.78,3.04
2014-06-01,2014,6,National,2838477,3016714,38097,2,4.26,-1.25
2014-07-01,2014,7,International,11833163,13701456,107777,106,4.19,2.1
2014-07-01,2014,7,National,2915119,3103138,39974,2,-1.95,-5.21
2014-08-01,2014,8,International,12707576,14386099,107760,108,6.88,4.24
2014-08-01,2014,8,National,2732784,2892924,36414,2,-0.89,-2.7
2014-09-01,2014,9,International,10085633,11662206,93474,99,-2.54,-3.47
2014-09-01,2014,9,National,2139847,2313765,33876,2,-17.56,-11.49
2014-10-01,2014,10,International,10150152,12016950,93492,101,5.45,2.69
2014-10-01,2014,10,National,2616704,2826666,35655,2,0.5,-4.62
2014-11-01,2014,11,International,7721970,9579867,76699,97,3.62,0.66
2014-11-01,2014,11,National,2256151,2440479,31315,2,-2.5,-6.74
2014-12-01,2014,12,International,8198429,10018192,78457,101,4.55,1.82
2014-12-01,2014,12,National,2456827,2669984,32837,2,-0.06,-3.84
2015-01-01,2015,1,International,7720238,9418876,77795,93,4.08,0.74
2015-01-01,2015,1,National,2179203,2359004,31003,2,-0.09,-4.23
2015-02-01,2015,2,International,7400185,9074584,72884,94,5.24,1.06
2015-02-01,2015,2,National,2135764,2309590,30007,2,1.81,-3.07
2015-03-01,2015,3,International,8764947,10681610,85327,98,2.43,1.73
2015-03-01,2015,3,National,2406255,2608931,34154,2,-0.3,-2.08
2015-04-01,2015,4,International,10057843,11841402,90362,98,1.42,-0.93
2015-04-01,2015,4,National,2490788,2686444,33660,2,-2.69,-5.98
2015-05-01,2015,5,International,11132968,12896498,101215,101,5.02,0.73
2015-05-01,2015,5,National,2607249,2775863,35628,2,2.85,-0.13
2015-06-01,2015,6,International,11065000,12912309,101478,101,2.38,2.28
2015-06-01,2015,6,National,2756969,2953943,38210,2,-2.87,0.3
2015-07-01,2015,7,International,12666296,14452033,110263,107,7.04,2.31
2015-07-01,2015,7,National,2893696,3083115,39870,2,-0.73,-0.26
2015-08-01,2015,8,International,13269585,14918631,109660,107,4.42,1.76
2015-08-01,2015,8,National,2723394,2892245,35774,2,-0.34,-1.76
2015-09-01,2015,9,International,11252640,13018417,100142,104,11.57,7.13
2015-09-01,2015,9,National,2564284,2758433,35827,2,19.83,5.76
2015-10-01,2015,10,International,10767729,12683483,94895,101,6.08,1.5
2015-10-01,2015,10,National,2649414,2852392,34823,2,1.25,-2.33
2015-11-01,2015,11,International,7709541,9612765,76717,97,-0.16,0.02
2015-11-01,2015,11,National,2205098,2380007,31469,2,-2.26,0.49
2015-12-01,2015,12,International,8108012,10054946,80146,96,-1.1,2.15
2015-12-01,2015,12,National,2429949,2644365,32667,2,-1.09,-0.52
2016-01-01,2016,1,International,7874436,9567868,77373,97,2.0,-0.54
2016-01-01,2016,1,National,2209816,2378734,30594,2,1.4,-1.32
2016-02-01,2016,2,International,7803931,9440306,75973,95,5.46,4.24
2016-02-01,2016,2,National,2234637,2407718,30961,2,4.63,3.18
2016-03-01,2016,3,International,9026581,10952643,86457,97,2.99,1.32
2016-03-01,2016,3,National,2431188,2625885,33577,2,1.04,-1.69
2016-04-01,2016,4,International,10497601,12360582,95296,99,4.37,5.46
2016-04-01,2016,4,National,2648051,2842900,34689,2,6.31,3.06
2016-05-01,2016,5,International,11236056,13044153,104099,99,0.93,2.85
2016-05-01,2016,5,National,2698567,2872973,36003,2,3.5,1.05
2016-06-01,2016,6,International,11175848,12985258,103518,99,1.0,2.01
2016-06-01,2016,6,National,2816591,3005983,38163,2,2.16,-0.12
2016-07-01,2016,7,International,13120769,14965024,113767,104,3.59,3.18
2016-07-01,2016,7,National,2971624,3133788,39729,2,2.69,-0.35
2016-08-01,2016,8,International,13174062,14972457,111584,107,-0.72,1.75
2016-08-01,2016,8,National,2741296,2901118,35258,2,0.66,-1.44
2016-09-01,2016,9,International,11387289,13311392,103387,103,1.2,3.24
2016-09-01,2016,9,National,2643599,2827834,36571,2,3.09,2.08
2016-10-01,2016,10,International,10946871,13050131,98132,101,1.66,3.41
2016-10-01,2016,10,National,2730190,2908716,34749,2,3.05,-0.21
2016-11-01,2016,11,International,8223667,10319705,79083,101,6.67,3.08
2016-11-01,2016,11,National,2367112,2565261,31651,2,7.35,0.58
2016-12-01,2016,12,International,9047875,11170307,82786,102,11.59,3.29
2016-12-01,2016,12,National,2575838,2801476,32667,2,6.0,0.0
2017-01-01,2017,1,International,8529143,10343813,80701,101,8.31,4.3
2017-01-01,2017,1,National,2326963,2483299,31637,2,5.3,3.41
2017-02-01,2017,2,International,8282249,10009234,76518,100,6.13,0.72
2017-02-01,2017,2,National,2228116,2385873,30184,2,-0.29,-2.51
2017-03-01,2017,3,International,9527667,11677600,88958,103,5.55,2.89
2017-03-01,2017,3,National,2508338,2694096,34243,2,3.17,1.98
2017-04-01,2017,4,International,11596827,13523351,98672,103,10.47,3.54
2017-04-01,2017,4,National,2714468,2892622,34421,2,2.51,-0.77
2017-05-01,2017,5,International,11745055,13681264,106343,106,4.53,2.16
2017-05-01,2017,5,National,2740784,2907091,36841,2,1.56,2.33
2017-06-01,2017,6,International,11812163,13795844,105007,102,5.69,1.44
2017-06-01,2017,6,National,2979148,3149708,39431,2,5.77,3.32
2017-07-01,2017,7,International,14001880,15950465,116053,108,6.72,2.01
2017-07-01,2017,7,National,3154119,3304505,39961,2,6.14,0.58
2017-08-01,2017,8,International,14117995,15965810,112953,109,7.17,1.23
2017-08-01,2017,8,National,2908967,3065439,36320,2,6.12,3.01
2017-09-01,2017,9,International,12280318,14229376,104316,103,7.84,0.9
2017-09-01,2017,9,National,2757563,2937965,35862,2,4.31,-1.94
2017-10-01,2017,10,International,11636293,13706300,98468,104,6.3,0.34
2017-10-01,2017,10,National,2824176,3005026,35903,2,3.44,3.32
2017-11-01,2017,11,International,8876513,10947825,78495,101,7.94,-0.74
2017-11-01,2017,11,National,2445939,2626238,32039,2,3.33,1.23
2017-12-01,2017,12,International,9446624,11514850,81288,105,4.41,-1.81
2017-12-01,2017,12,National,2591687,2791880,32024,2,0.62,-1.97
2018-01-01,2018,1,International,9055289,10854832,80355,105,6.17,-0.43
2018-01-01,2018,1,National,2451456,2623229,32733,2,5.35,3.46
2018-02-01,2018,2,International,8595579,10246117,75342,98,3.78,-1.54
2018-02-01,2018,2,National,2212289,2363896,29245,2,-0.71,-3.11
2018-03-01,2018,3,International,10401416,12454866,89130,104,9.17,0.19
2018-03-01,2018,3,National,2580866,2770126,33720,2,2.89,-1.53
2018-04-01,2018,4,International,11749304,13659188,95430,103,1.31,-3.29
2018-04-01,2018,4,National,2722985,2895084,32936,2,0.31,-4.31
2018-05-01,2018,5,International,12290918,14185700,104191,103,4.65,-2.02
2018-05-01,2018,5,National,2814405,2968653,35679,2,2.69,-3.15
2018-06-01,2018,6,International,12713125,14682011,105657,106,7.63,0.62
2018-06-01,2018,6,National,3059807,3232894,38866,2,2.71,-1.43
2018-07-01,2018,7,International,14516779,16461257,115703,110,3.68,-0.3
2018-07-01,2018,7,National,3282698,3448721,40331,2,4.08,0.93
2018-08-01,2018,8,International,14702525,16510583,113683,111,4.14,0.65
2018-08-01,2018,8,National,3063005,3213143,37079,2,5.3,2.09
2018-09-01,2018,9,International,13050270,14937516,106916,108,6.27,2.49
2018-09-01,2018,9,National,2891050,3054261,37120,2,4.84,3.51
2018-10-01,2018,10,International,12469914,14588693,101604,105,7.16,3.18
2018-10-01,2018,10,National,2975430,3154327,36273,2,5.36,1.03
2018-11-01,2018,11,International,9542461,11566254,82648,101,7.5,5.29
2018-11-01,2018,11,National,2541398,2710352,32551,2,3.9,1.6
2018-12-01,2018,12,International,9988966,11974639,85345,105,5.74,4.99
2018-12-01,2018,12,National,2678499,2870724,33374,2,3.35,4.22
2019-01-01,2019,1,International,9411724,11182994,83302,102,3.94,3.67
2019-01-01,2019,1,National,2501114,2674776,32725,2,2.03,-0.02
2019-02-01,2019,2,International,9130918,10843327,78672,99,6.23,4.42
2019-02-01,2019,2,National,2339916,2500870,29778,2,5.77,1.82
2019-03-01,2019,3,International,10953415,13007273,91957,104,5.31,3.17
2019-03-01,2019,3,National,2741500,2930046,33975,2,6.22,0.76
2019-04-01,2019,4,International,12791628,14590438,102265,106,8.87,7.16
2019-04-01,2019,4,National,2999262,3179829,35959,2,10.15,9.18
2019-05-01,2019,5,International,12729948,14674774,107750,103,3.57,3.42
2019-05-01,2019,5,National,2879855,3048490,36205,2,2.33,1.47
2019-06-01,2019,6,International,13793600,15628251,111147,106,8.5,5.2
2019-06-01,2019,6,National,3177067,3341707,38781,2,3.83,-0.22
2019-07-01,2019,7,International,15090965,17006784,119657,108,3.96,3.42
2019-07-01,2019,7,National,3296672,3477696,39882,2,0.43,-1.11
2019-08-01,2019,8,International,15335415,17063180,117321,110,4.3,3.2
2019-08-01,2019,8,National,3088714,3242323,36118,2,0.84,-2.59
2019-09-01,2019,9,International,13393520,15209574,107973,106,2.63,0.99
2019-09-01,2019,9,National,2865887,3031002,36224,2,-0.87,-2.41
2019-10-01,2019,10,International,12724696,14662710,101485,107,2.04,-0.12
2019-10-01,2019,10,National,2941375,3126707,35572,2,-1.14,-1.93
2019-11-01,2019,11,International,9849959,11542099,82337,104,3.22,-0.38
2019-11-01,2019,11,National,2581314,2746736,31685,2,1.57,-2.66
2019-12-01,2019,12,International,10226653,12110434,85333,106,2.38,-0.01
2019-12-01,2019,12,National,2669894,2853803,32223,2,-0.32,-3.45
2020-01-01,2020,1,International,9723388,11799063,84026,106,3.31,0.87
2020-01-01,2020,1,National,2594622,2783236,33170,2,3.74,1.36
2020-02-01,2020,2,International,9417471,11345359,80867,104,3.14,2.79
2020-02-01,2020,2,National,2386800,2577088,30406,2,2.0,2.11
2020-03-01,2020,3,International,4484272,6098225,51420,92,-59.06,-44.08
2020-03-01,2020,3,National,1256680,1394721,20231,2,-54.16,-40.45
2020-04-01,2020,4,International,110322,1006177,6088,29,-99.14,-94.05
2020-04-01,2020,4,National,35993,85914,2115,2,-98.8,-94.12
2020-05-01,2020,5,International,154372,1453155,8062,39,-98.79,-92.52
2020-05-01,2020,5,National,97414,152506,3824,2,-96.62,-89.44
2020-06-01,2020,6,International,486906,1901035,13676,46,-96.47,-87.7
2020-06-01,2020,6,National,486848,602566,10668,2,-84.68,-72.49
2020-07-01,2020,7,International,2688517,4094048,39492,66,-82.18,-67.0
2020-07-01,2020,7,National,1640561,1778980,22214,2,-50.24,-44.3
2020-08-01,2020,8,International,4021040,5420048,52019,71,-73.78,-55.66
2020-08-01,2020,8,National,2139935,2273166,26457,2,-30.72,-26.75
2020-09-01,2020,9,International,2447252,3913590,39456,63,-81.73,-63.46
2020-09-01,2020,9,National,1656393,1808263,24605,2,-42.2,-32.08
2020-10-01,2020,10,International,2196104,3719739,34372,69,-82.74,-66.13
2020-10-01,2020,10,National,1532384,1693276,22786,2,-47.9,-35.94
2020-11-01,2020,11,International,985317,2495720,22841,62,-90.0,-72.26
2020-11-01,2020,11,National,514841,667151,12788,2,-80.06,-59.64
2020-12-01,2020,12,International,1870331,3507741,29862,78,-81.71,-65.01
2020-12-01,2020,12,National,1239302,1439120,18887,2,-53.58,-41.39
2021-01-01,2021,1,International,1755979,3317652,28325,75,-81.94,-66.29
2021-01-01,2021,1,National,1249732,1411570,19283,2,-51.83,-41.87
2021-02-01,2021,2,International,995528,2574929,20658,70,-89.43,-74.45
2021-02-01,2021,2,National,840960,998947,16311,2,-64.77,-46.36
2021-03-01,2021,3,International,1148462,2967461,23079,74,-74.39,-55.12
2021-03-01,2021,3,National,743049,916134,16274,2,-40.87,-19.56
2021-04-01,2021,4,International,1222128,3004607,24924,75,1007.78,309.4
2021-04-01,2021,4,National,698318,854301,16627,2,1840.15,686.15
2021-05-01,2021,5,International,1802909,3553606,31297,76,1067.9,288.2
2021-05-01,2021,5,National,1215272,1349798,20891,2,1147.53,446.31
2021-06-01,2021,6,International,3132141,4930225,44428,88,543.27,224.86
2021-06-01,2021,6,National,1780546,1940376,25757,2,265.73,141.44
2021-07-01,2021,7,International,6470703,8214150,73904,98,140.68,87.14
2021-07-01,2021,7,National,2655790,2805273,32391,2,61.88,45.81
2021-08-01,2021,8,International,7958372,9772406,78829,93,97.92,51.54
2021-08-01,2021,8,National,2637515,2788849,31032,2,23.25,17.29
2021-09-01,2021,9,International,6368557,8185594,68234,96,160.23,72.94
2021-09-01,2021,9,National,2065754,2214284,26275,2,24.71,6.79
2021-10-01,2021,10,International,6871534,8893822,68268,95,212.9,98.62
2021-10-01,2021,10,National,2193822,2359093,26094,2,43.16,14.52
2021-11-01,2021,11,International,6179920,8167417,64272,98,527.2,181.39
2021-11-01,2021,11,National,2022520,2184272,23748,2,292.84,85.71
2021-12-01,2021,12,International,5845734,7909949,65586,102,212.55,119.63
2021-12-01,2021,12,National,2229119,2425503,26977,2,79.87,42.83
2022-01-01,2022,1,International,4334003,5525621,54582,94,146.81,92.7
2022-01-01,2022,1,National,1653979,1771786,23376,2,32.35,21.23
2022-02-01,2022,2,International,5526462,6872459,57491,88,455.13,178.3
2022-02-01,2022,2,National,1760439,1878947,23321,2,109.34,42.98
2022-03-01,2022,3,International,7381634,9101967,73136,94,542.74,216.89
2022-03-01,2022,3,National,2100651,2245304,27817,2,182.71,70.93
2022-04-01,2022,4,International,9402835,10844744,84483,96,669.38,238.96
2022-04-01,2022,4,National,2450502,2588704,28192,2,250.91,69.56
2022-05-01,2022,5,International,10786689,12585368,96518,102,498.29,208.39
2022-05-01,2022,5,National,2630094,2761186,30398,2,116.42,45.51
